id,name,rate,rate1,rate2,rate3
28001,Adams,17108,8,0.05,0
28003,Alcorn,371,0,0.00,0
28005,Amite,11863,4817,40.61,0
28007,Attala,7526,205,2.72,0
28009,Benton,836,0,0.00,0
28011,Bolivar,13452,2,0.01,0
28013,Calhoun,40,0,0.00,0
28015,Carroll,1278,0,0.00,0
28017,Chickasaw,698,0,0.00,0
28019,Choctaw,7186,27,0.38,0
28021,Claiborne,5287,8,0.15,0
28023,Clarke,10017,0,0.00,0
28025,Clay,4548,0,0.00,0
28027,Coahoma,5854,1,0.02,0
28029,Copiah,15732,6,0.04,0
28031,Covington,11527,3,0.03,0
28033,Desoto,56863,5,0.01,0
28035,Forrest,39457,3,0.01,0
28037,Franklin,8391,957,11.41,0
28039,George,16819,0,0.00,0
28041,Greene,8898,0,0.00,0
28043,Grenada,11412,1,0.01,0
28045,Hancock,26306,0,0.00,0
28047,Harrison,103105,0,0.00,0
28049,Hinds,110223,632,0.57,0
28051,Holmes,4910,82,1.67,0
28053,Humphreys,2616,4,0.15,0
28055,Issaquena,1,0,0.00,0
28057,Jackson,79224,0,0.00,0
28059,Jasper,11722,0,0.00,0
28061,Jeff Davis,7888,0,0.00,0
28063,Jefferson,4917,10,0.20,0
28065,Jefferson Davis,7888,0,0.00,0
28067,Jones,35075,1,0.00,0
28069,Kemper,5762,0,0.00,0
28071,Lafayette,24964,1,0.00,0
28073,Lamar,32814,0,0.00,0
28075,Lauderdale,37140,0,0.00,0
28077,Lawrence,8726,652,7.47,0
28079,Leake,11413,1,0.01,0
28081,Lee,5022,1,0.02,0
28083,Leflore,1322,0,0.00,0
28085,Lincoln,18006,2180,12.11,0
28087,Lowndes,5889,0,0.00,0
28089,Madison,50058,97,0.19,0
28091,Marion,13592,20,0.15,0
28093,Marshall,1015,0,0.00,0
28095,Monroe,1963,0,0.00,0
28097,Montgomery,3721,1,0.03,0
28099,Neshoba,11343,0,0.00,0
28101,Newton,12481,0,0.00,0
28103,Noxubee,10259,0,0.00,0
28105,Oktibbeha,7549,0,0.00,0
28107,Panola,18206,1,0.01,0
28109,Pearl River,29946,2,0.01,0
28111,Perry,7309,0,0.00,0
28113,Pike,20043,7696,38.40,0
28115,Pontotoc,2311,0,0.00,0
28117,Prentiss,397,0,0.00,0
28119,Quitman,4030,1,0.02,0
28121,Rankin,73940,1,0.00,0
28123,Scott,14633,1,0.01,0
28125,Sharkey,1965,0,0.00,0
28127,Simpson,15929,1,0.01,0
28129,Smith,10693,1,0.01,0
28131,Stone,9557,7,0.07,0
28133,Sunflower,8743,0,0.00,0
28135,Tallahatchie,7078,0,0.00,0
28137,Tate,13527,13,0.10,0
28139,Tippah,10921,0,0.00,0
28143,Tunica,5906,3,0.05,0
28145,Union,3326,0,0.00,0
28147,Walthall,8602,2611,30.35,0
28149,Warren,21798,122,0.56,0
28151,Washington,16023,2,0.01,0
28153,Wayne,12192,10,0.08,0
28155,Webster,1312,0,0.00,0
28157,Wilkinson,5922,515,8.70,0
28159,Winston,6988,0,0.00,0
28161,Yalobusha,5516,0,0.00,0
28163,Yazoo,1333,50,3.75,0
22001,Acadia,28591,1,0.00,0
22003,Allen,12724,5,0.04,0
22005,Ascension,58304,37452,64.24,0
22007,Assumption,10490,5255,50.10,0
22009,Avoyelles,21904,1,0.00,0
22011,Beauregard,22275,15,0.07,0
22013,Bienville,8952,1,0.01,0
22015,Bossier,61416,4,0.01,0
22017,Caddo,119697,0,0.00,0
22019,Calcasieu,100162,1,0.00,0
22021,Caldwell,6191,4,0.06,0
22023,Cameron,1806,1,0.06,0
22025,Catahoula,125,0,0.00,0
22027,Claiborne,9371,1,0.01,0
22029,Concordia,5134,23,0.45,0
22031,De Soto,14826,4,0.03,0
22033,East Baton Rouge,216086,66031,30.56,0
22035,East Carroll,3525,1,0.03,0
22037,East Feliciana,10375,4007,38.62,0
22039,Evangeline,18110,0,0.00,0
22041,Franklin,7227,1,0.01,0
22043,Grant,9363,0,0.00,0
22045,Iberia,34787,0,0.00,0
22047,Iberville,9087,3104,34.16,0
22049,Jackson,8918,1,0.01,0
22051,Jefferson,211981,203176,95.85,0
22053,Jefferson Davis,12338,1,0.01,0
22055,Lafayette,56810,3,0.01,0
