id,name,rate,rate1,rate2,rate3
22001,Acadia,0.87,248,28591,0
22003,Allen,0,0,12724,0
22005,Ascension,57.72,33654,58304,0
22007,Assumption,55.27,5798,10490,0
22009,Avoyelles,0,0,21904,0
22011,Beauregard,0,0,22275,0
22013,Bienville,0,0,8952,0
22015,Bossier,0,0,61416,0
22017,Caddo,0,0,119697,0
22019,Calcasieu,0,0,100162,0
22021,Caldwell,0,0,6191,0
22023,Cameron,0,0,1806,0
22025,Catahoula,0,0,125,0
22027,Claiborne,3.32,311,9371,0
22029,Concordia,0,0,5134,0
22031,De Soto,0,0,14826,0
22033,East Baton Rouge,41.88,90490,216086,0
22035,East Carroll,0,0,3525,0
22037,East Feliciana,38.56,4001,10375,0
22039,Evangeline,0,0,18110,0
22041,Franklin,0,0,7227,0
22043,Grant,0,0,9363,0
22045,Iberia,1.02,354,34787,0
22047,Iberville,33.26,3022,9087,0
22049,Jackson,0,0,8918,0
22051,Jefferson,80.24,170090,211981,0
22053,Jefferson Davis,0,0,12338,0
22055,Lafayette,0,0,56810,0
22057,Lafourche,75,33174,44235,0
22059,La Salle,0,0,5845,0
22061,Lincoln,0,0,13301,0
22063,Livingston,60.96,41585,68218,0
22065,Madison,4.39,261,5937,0
22067,Morehouse,0,0,12665,0
22069,Natchitoches,7.01,935,13327,0
22071,Orleans,53.41,103485,193765,0
22073,Ouachita,0,0,79791,0
22075,Plaquemines,84.85,10745,12664,0
22077,Pointe Coupee,1.83,93,5091,0
22079,Rapides,0,0,44068,0
22081,Red River,0,0,5114,0
22083,Richland,0.03,3,8978,0
22085,Sabine,0,0,17809,0
22087,St. Bernard,79.09,16204,20488,0
22089,St. Charles,78.36,18006,22979,0
22091,St. Helena,86.18,5999,6961,0
22093,St. James,82.67,8227,9952,0
22095,St. John The Baptist,77.47,15367,19836,0
22097,St. Landry,1.13,520,46099,0
22099,St. Martin,0.51,131,25611,0
22101,St. Mary,0,0,18981,0
22103,St. Tammany,55.73,71294,127932,0
22105,Tangipahoa,67.55,46688,69115,0
22107,Tensas,1.8,65,3609,0
22109,Terrebonne,71.78,19920,27753,0
22111,Union,0,0,13826,0
22113,Vermilion,1.74,399,22842,0
22115,Vernon,2.43,630,25913,0
22117,Washington,39.35,9714,24683,0
22119,Webster,0,0,16385,0
22121,West Baton Rouge,3.91,502,12840,0
22123,West Carroll,0,0,2590,0
22125,West Feliciana,2.85,183,6409,0
22127,Winn,0,0,5253,0
28001,Adams,32.33,5532,17108,0
28003,Alcorn,0,0,371,0
28005,Amite,85.59,10154,11863,0
28007,Attala,34.28,2580,7526,0
28009,Benton,0,0,836,0
28011,Bolivar,0,0,13452,0
28013,Calhoun,40.06,16,40,0
28015,Carroll,0,0,1278,0
28017,Chickasaw,0,0,698,0
28019,Choctaw,0,0,7186,0
28021,Claiborne,28.42,1503,5287,0
28023,Clarke,0,0,10017,0
28025,Clay,0,0,4548,0
28027,Coahoma,0,0,5854,0
28029,Copiah,33.42,5258,15732,0
28031,Covington,10.88,1255,11527,0
28033,Desoto,0,0,56863,0
28035,Forrest,2.83,1118,39457,0
28037,Franklin,57.58,4832,8391,0
28039,George,0.82,138,16819,0
28041,Greene,0,0,8898,0
28043,Grenada,0,0,11412,0
28045,Hancock,0,0,26306,0
28047,Harrison,5.9,6080,103105,0
28049,Hinds,6.96,7676,110223,0
28051,Holmes,2.88,141,4910,0
28053,Humphreys,0,0,2616,0
28055,Issaquena,2.6,133,5132,0
28057,Jackson,0,0,79224,0
28059,Jasper,0,0,11722,0
28061,Jeff Davis,0,0,7888,0
28063,Jefferson,20.18,992,4917,0
28065,Jefferson Davis,0,0,7888,0
28067,Jones,0,0,35075,0
28069,Kemper,17.3,997,5762,0
28071,Lafayette,0,0,24964,0
28073,Lamar,3.73,1225,32814,0
28075,Lauderdale,3.68,1367,37140,0
28077,Lawrence,17.08,1490,8726,0
28079,Leake,0,0,11413,0
28081,Lee,0,0,5022,0
28083,Leflore,4.07,54,1322,0
28085,Lincoln,58.09,10461,18006,0
28087,Lowndes,1.77,104,5889,0
28089,Madison,0,0,50058,0
28091,Marion,5.05,687,13592,0
28093,Marshall,0,0,1015,0
28095,Monroe,0,0,1963,0
28097,Montgomery,0,0,3721,0
28099,Neshoba,19.62,2226,11343,0
28101,Newton,0,0,12481,0
28103,Noxubee,3.45,354,10259,0
28105,Oktibbeha,0.47,35,7549,0
28107,Panola,0,0,18206,0
28109,Pearl River,0,0,29946,0
28111,Perry,1.71,125,7309,0
28113,Pike,63.18,12662,20043,0
28115,Pontotoc,0,0,2311,0
28117,Prentiss,0,0,397,0
28119,Quitman,3.45,139,4030,0
28121,Rankin,2.49,1841,73940,0
28123,Scott,0.54,79,14633,0
28125,Sharkey,3.54,70,1965,0
28127,Simpson,13.61,2169,15929,0
28129,Smith,0,0,10693,0
28131,Stone,0.89,85,9557,0
28133,Sunflower,0,0,8743,0
28135,Tallahatchie,0,0,7078,0
28137,Tate,0,0,13527,0
28139,Tippah,0,0,10921,0
28143,Tunica,0,0,5906,0
28145,Union,0,0,3326,0
28147,Walthall,82.38,7086,8602,0
28149,Warren,6.25,1361,21798,0
28151,Washington,8.27,1325,16023,0
28153,Wayne,10.82,1320,12192,0
28155,Webster,0,0,1312,0
28157,Wilkinson,84.65,5013,5922,0
28159,Winston,0,0,6988,0
28161,Yalobusha,0,0,5516,0
28163,Yazoo,5.64,75,1333,0
